823201775515	75515	480730.527	4439062.865	40.589	1.867
823201775516	75516	480730.263	4439061.602	40.6102	1.913
823201775517	75517	480730.021	4439060.333	40.6169	1.953
823201775518	75518	480729.805	4439059.053	40.6118	1.926
823201775519	75519	480729.596	4439057.783	40.5972	1.911
823201775520	75520	480729.395	4439056.506	40.5998	1.954
823201775521	75521	480729.221	4439055.215	40.6102	1.948
823201775522	75522	480729.077	4439053.941	40.6023	1.970
823201775523	75523	480728.936	4439052.664	40.6021	1.956
823201775524	75524	480728.819	4439051.36	40.6038	1.945
823201775525	75525	480728.707	4439050.051	40.6097	1.961
823201775526	75526	480728.598	4439048.74	40.6004	1.913
823201775527	75527	480728.472	4439047.427	40.5931	1.904
823201775528	75528	480728.358	4439046.094	40.6094	1.917
823201775529	75529	480728.259	4439044.773	40.6046	1.902
823201775530	75530	480728.176	4439043.437	40.6091	1.901
823201775531	75531	480728.095	4439042.107	40.599	1.874
823201775532	75532	480727.99	4439040.772	40.5957	1.845
823201775533	75533	480727.867	4439039.465	40.6089	1.839
823201775534	75534	480727.751	4439038.161	40.6042	1.846
823201775535	75535	480727.635	4439036.864	40.6061	1.860
823201775536	75536	480727.522	4439035.552	40.6092	1.861
823201775537	75537	480727.423	4439034.229	40.593	1.833
823201775538	75538	480727.322	4439032.906	40.6074	1.842
823201775539	75539	480727.217	4439031.569	40.6107	1.842
823201775540	75540	480727.066	4439030.194	40.6057	1.825
823201775541	75541	480726.888	4439028.789	40.5924	1.814
823201775542	75542	480726.667	4439027.374	40.5963	1.818
823201775543	75543	480726.424	4439025.942	40.596	1.830
823201775544	75544	480726.169	4439024.506	40.6058	1.848
823201775545	75545	480725.923	4439023.047	40.6035	1.862
823201775546	75546	480725.676	4439021.594	40.5933	1.857
823201775547	75547	480725.43	4439020.145	40.6014	1.871
823201775548	75548	480725.175	4439018.687	40.5975	1.881
823201775549	75549	480724.912	4439017.223	40.5926	1.880
823201775550	75550	480724.639	4439015.765	40.6044	1.903
823201775551	75551	480724.341	4439014.318	40.6091	1.898
823201775552	75552	480724.042	4439012.865	40.5916	1.894
823201775553	75553	480723.746	4439011.405	40.5936	1.894
823201775554	75554	480723.483	4439009.943	40.601	1.940
823201775555	75555	480723.207	4439008.495	40.5941	1.946
